title,popular_rank,startYear,episodes,language,origin_country,plot,summary,rating,genres,cast,image_url,imdb_id
Hot Girls Wanted: Turned On,1356,2017,6,English,United States,"Porn has gone mainstream; the question is, can we handle it? This exploration of the intersection of sex and technology is told through the stories of the people whose lives are defined by the current explosion of intern... Read all","Porn has gone mainstream; the question is, can we handle it? This exploration of the intersection of sex and technology is told through the stories of the people whose lives are defined by the current explosion of internet porn-whether they're creating it, consuming it, or both.",6.7,Documentary,"['James Rhine', 'Lena Anderson', 'James Bartholet', 'Lily Cade', 'Eva Celeste', 'Tali Dova', 'Renae Englehart', 'Alice Frost', 'Dion Giarrusso', 'Tyler Knight', 'Akira Lane', 'Lila Lavay', 'Loni Legend', 'Marina Lonina', 'Erika Lust', 'Rebekah Nazarian', 'Kylie Page', 'Gia Paige']",https://m.media-amazon.com/images/M/MV5BMjM5NDI3ODMxM15BMl5BanBnXkFtZTgwNTIwOTcwMjI@._V1_FMjpg_UX1000_.jpg,tt6333104
Hotel Del Luna,1039,2019,16,Korean,South Korea,"When he's invited to manage a hotel for dead souls, an elite hotelier gets to know the establishment's ancient owner and her strange world.","Nestled deep in the heart of Seoul's thriving downtown sits a curious hotel, the like of which no one has ever seen before. Old beyond measure, the building has stood for millennia, an ever-present testament to the fact that things are not always what they seem. Running this hotel is Jang Man Wol, a greedy, suspicious soul who has spent the past thousand years acting as the establishment's CEO. Cursed for a sin she can no longer remember committing, Man Wol is doomed to spend all of the eternity running this odd establishment, catering to the needs of a most peculiar clientele. Her only hope of escape is to find someone who has committed a worse sin than her own but after a thousand years, she's beginning to lose hope. However, things take an interesting turn when Goo Chan Seong shows up. Once the youngest assistant manager ever to work at a multinational hotel corporation, Chan Seong finds himself forced to manage the Hotel del Luna because of a deal his father made with Man Wol years ago. A stickler for rules and regulations, he's a perfectionist to the extreme but that may be exactly what this odd establishment and its cursed CEO needs. —(Source: MyDramaList)",8.2,Drama.Fantasy.Horror,"['Lee Ji-eun', 'Yeo Jin-gu', 'Shin Jeong-geun', 'Bae Hae-Sun', 'Ji-Hoon Pyo', 'Seo Yi-Sook', 'Lee Do-Hyun', 'Hyun-Chul Cho', 'Mi-na Kang', 'Tae-sun Lee', 'Kang Hong-Seok', 'Yoo-na Park', 'Lee Da-wit', 'Ahn Soo-bin', 'Seo Yi-Soo', 'Jung Dong-hwan', 'Ji-Ho Oh', 'Kang-Hoon Kim']",https://m.media-amazon.com/images/M/MV5BNzQ2MzQzNDktMTg4ZC00ZDE0LThhNmUtYWMxYmI3OTIzYzZlXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_FMjpg_UX1000_.jpg,tt10220588
Hotel Transylvania,2779,2017,57,English,United States,A TV adaptation of the 2012 feature film 'Hotel Transylvania.',A TV adaptation of the 2012 feature film 'Hotel Transylvania.',5.5,Animation.Comedy.Family,"['Bryn McAuley', 'Evany Rosen', 'Gage Munroe', 'Joseph Motiki', 'Dan Chameroy', 'Diane Salema', 'Patrick McKenna', 'Scott McCord', 'Linda Kash', 'Ryan Belleville', 'David Berni', 'Paul Braunstein', 'Juan Chioran', 'Maria Vacratsis', 'Julie Lemieux', 'Cory Doran', 'Carter Hayden', 'Ivan Sherry']",https://m.media-amazon.com/images/M/MV5BNTRiMDViNzgtZTk1Mi00YjJhLTgwNjYtMTQ0OTM5NTQ0ZTk4XkEyXkFqcGdeQXVyNjM2NDIwMzQ@._V1_FMjpg_UX1000_.jpg,tt4858114
Houdini,2481,2014,2,English,United States,"Follow the man behind the magic as he finds fame, engages in espionage, battles spiritualists and encounters the greatest names of the era, from U.S. presidents to Sir Arthur Conan Doyle and Grigori Rasputin.","Follow the man behind the magic as he finds fame, engages in espionage, battles spiritualists and encounters the greatest names of the era, from U.S. presidents to Sir Arthur Conan Doyle and Grigori Rasputin.",7.4,Biography.Drama,"['Adrien Brody', 'Kristen Connolly', 'Evan Jones', 'Tim Pigott-Smith', 'Tom Benedict Knight', 'Shaun Williamson', 'Eszter Ónodi', 'Louis Mertens', 'Jeremy Wheeler', 'Caroline Boulton', 'Megan Dodds', 'David Calder', 'Linda Marlowe', 'Madeleine Potter', 'Michael Terry', 'Stevan Rimkus', 'Anthony Cozens', 'Chrissie Cotterill']",https://m.media-amazon.com/images/M/MV5BYzdmMjI3YzEtYzI4Ny00M2IwLThjYjYtOWJiNzMwNzliOTY2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_FMjpg_UX1000_.jpg,tt3132738
House of Cards,148,2013,73,English,United States,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,"Majority House Whip Francis Underwood takes you on a long journey as he exacts his vengeance on those he feels wronged him - that is, his own cabinet members including the President of the United States himself. Dashing, cunning, methodical and vicious, Frank Underwood along with his equally manipulative yet ambiguous wife, Claire, take Washington by storm through climbing the hierarchical ladder to power in this Americanized recreation of the BBC series of the same name. —Jacob Oberfrank",8.7,Drama,"['Kevin Spacey', 'Michel Gill', 'Robin Wright', 'Kate Mara', 'Michael Kelly', 'Justin Doescher', 'Derek Cecil', 'Jayne Atkinson', 'Nathan Darrow', 'Mahershala Ali', 'Boris McGiver', 'Paul Sparks', 'Molly Parker', 'Neve Campbell', 'Jeremy Holm', 'Marla Aaron Wapner', 'Nini Le Huynh', 'Gregory Divers']",https://m.media-amazon.com/images/M/MV5BODM1MDU2NjY5NF5BMl5BanBnXkFtZTgwMDkxNTcwNjM@._V1_FMjpg_UX1000_.jpg,tt1856010
How I Met Your Mother,49,2005,208,English,United States,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,"Ted Mosby sits down with his kids, to tell them the story of how he met their mother. The story is told through memories of his friends Marshall, Lily, Robin, and Barney Stinson. All legendary 9 seasons lead up to the moment of Ted's final encounter with ""the one."" —colucciconnor",8.3,Comedy.Romance,"['Josh Radnor', 'Jason Segel', 'Cobie Smulders', 'Neil Patrick Harris', 'Alyson Hannigan', 'Lyndsy Fonseca', 'David Henrie', 'Cristin Milioti', 'Marshall Manesh', 'Joe Nieves', 'Charlene Amoia', 'Ashley Williams', 'Suzie Plakson', 'Jennifer Morrison', 'Wayne Brady', 'Bill Fagerbakke', 'Ellen D. Williams', 'Chris Elliott']",https://m.media-amazon.com/images/M/MV5BNjg1MDQ5MjQ2N15BMl5BanBnXkFtZTYwNjI5NjA3._V1_FMjpg_UX1000_.jpg,tt0460649
How Many Kilograms are the Dumbbells You Lift?,2742,2019,12,Japanese,Japan,A young girl's life changes when she joins a gym to lose weight.,"Sakura Hibiki is your average high school girl, with a voracious appetite. Noticing her clothes tightening in lieu of her slowly expanding waistline she decides to look into enrolling in the nearby gym. There she runs into a girl from her grade named Souryuuin Akemi. Akemi, who has a muscle fetish tries to get Hibiki to enroll in the gym despite its high ratio of macho men. Thankfully a beautiful trainer, Machio, appears and unknowingly convinces her to enroll and start her quest to a great body.",7.1,Animation.Comedy.Sport,"['Fairouz Ai', 'Sora Amamiya', 'Stephen Fu', 'Shizuka Ishigami', 'Kaito Ishikawa', 'Morgan Laure', 'Madeleine Morris', 'Ian Sinclair', 'Sarah Wiedenheft', 'Leah Clark', 'Yui Horie', 'Jessica Cavanagh', 'Alexis Tipton', 'Nao Tôyama', 'Kate Bristol', 'Cris George', 'Ray Hurd', 'Christopher Bevins']",https://m.media-amazon.com/images/M/MV5BODcwYjBiMDYtMjAxMi00ZDU0LTkwN2EtMjQ4NTU3NjBjOWM1XkEyXkFqcGdeQXVyMzI2Mjc1NjQ@._V1_FMjpg_UX1000_.jpg,tt10362632
How to Fix a Drug Scandal,2955,2020,4,English,United States,"In 2013, Massachusetts State Police arrest 35-year-old crime drug lab chemist Sonja Farak for tampering with evidence: and that was only the beginning. Over time, details emerged that Farak had been in fact using the dru... Read all","In 2013, Massachusetts State Police arrest 35-year-old crime drug lab chemist Sonja Farak for tampering with evidence: and that was only the beginning. Over time, details emerged that Farak had been in fact using the drugs that she was tasked with testing. Did anyone know what had been going on? And when did they find out? The scope of Farak's addiction-and the number of people convicted as a result of her drug testing-comes to light, despite repeated efforts to suppress evidence in the case. This riveting four-part docuseries directed by Erin Lee Carr (Mommy Dead and Dearest, Dirty Money) examines an essential, but obscured, part of the criminal justice system. In addition to re-creations of Farak's compelling grand jury testimony and interviews with attorneys and experts, we hear from Farak's family for the first time, delving deep into how the actions of one crime lab employee can impact tens of thousands of lives. —Netflix",7,Crime.Documentary,"['Scott Allen', 'Karl Kenzler', 'Daniel Marx', 'Shawn Musgrave', ""Shannon O'Neill"", 'Jared Olanoff', 'Luke Ryan', 'Paul Solotaroff', 'David Sullivan', 'Daniel Conley', 'Amy Farak', 'Linda Farak', 'Maura Healey', 'Matt Segal', 'Madelyn Vazquez', 'Robin Whitney', 'Deborah Becker', 'James Connolly']",https://m.media-amazon.com/images/M/MV5BOWU1NTM0MWEtYTEyZC00OTViLWE2NjQtZDI3ODMwZDJkNmI5XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg,tt11958942
How to Get Away with Murder,162,2014,90,English,United States,A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives.,"A sexy, suspense-driven legal thriller about a group of ambitious law students and their brilliant, mysterious criminal defense professor. They become entangled in a murder plot that will shake the entire university and change the course of their lives.",8.1,Crime.Drama.Mystery,"['Viola Davis', 'Billy Brown', 'Jack Falahee', 'Aja Naomi King', 'Matt McGorry', 'Charlie Weber', 'Liza Weil', 'Conrad Ricamora', 'Karla Souza', 'Alfred Enoch', 'Amirah Vann', 'Rome Flynn', 'Tom Verica', 'Behzad Dabu', 'Benito Martinez', 'Jasmyne Jones', 'Adrianna Jones', 'Katie Findlay']",https://m.media-amazon.com/images/M/MV5BZDQ5ZDRhMWItNjA5Ni00MDhiLTgwN2EtZjFkYzgzNjBhZTIyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_FMjpg_UX1000_.jpg,tt3205802
How to Ruin Christmas: The Wedding,3388,2020,3,Zulu,South Africa,Prodigal daughter Tumi goes home for the holidays and manages to ruin her sister's wedding plans. Now she must make things right before it's too late.,Prodigal daughter Tumi goes home for the holidays and manages to ruin her sister's wedding plans. Now she must make things right before it's too late.,6.3,Comedy.Drama,"['Busise Lurayi', 'Thando Thabethe', 'Yonda Thomas', 'Nambitha Ben-Mazwi', 'Clementine Mosimane', 'Sandile Mahlangu', 'Motlatsi Mafatshe', 'Lehlohonolo Saint Seseli', 'Charmaine Mtinta', 'Swankie Mafoko', 'Lethabo Bereng', 'Desmond Dube', 'Rami Chuene', 'Keketso Semoko', 'Nandi Nyembe', 'Dippy Padi', 'Trevor Gumbi', 'Kagiso Rathebe']",https://m.media-amazon.com/images/M/MV5BNzdiNWU2M2YtZTNhYi00YTk0LWJlOTctOGFlYmU5MjZmYTUwXkEyXkFqcGdeQXVyODE5NTc1MjM@._V1_FMjpg_UX1000_.jpg,tt13492362
How to Sell Drugs Online (Fast),1017,2019,13,German,Germany,"To win back the love of his life, a high school student and his best friend launch Europe's largest online drug business from their teenage bedroom.","To win back the love of his life, a high school student and his best friend launch Europe's largest online drug business from their teenage bedroom.",7.9,Comedy.Crime.Drama,"['Maximilian Mundt', 'Danilo Kamperidis', 'Lena Klenke', 'Damian Hardung', 'Leonie Wesselow', 'Roland Riebeling', 'Jolina Amely Trinks', 'Luna Baptiste Schaller', 'Lena Urzendowsky', 'Markoesa Hamer', 'Hannah van Lunteren', 'Bjarne Mädel', 'Ruben Brinkman', 'Maren Kroymann', 'Michael Ostrowski', 'Hinnerk Schönemann', 'Michael Schertenleib', 'Ulrike Folkerts']",https://m.media-amazon.com/images/M/MV5BZjIzNTkyNjktNDdmMy00MmI4LWFlN2MtNDllYTVhZjljNWFiXkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_FMjpg_UX1000_.jpg,tt9184994
Huge in France,2650,2019,8,English,United States,Gad is a hugely famous comedian...In France.,Gad is a hugely famous comedian...In France.,6.8,Comedy,"['Gad Elmaleh', 'Scott Keiji Takeda', 'Jordan Ver Hoeve', 'Erinn Hayes', 'Matthew Del Negro', 'Austin Fryberger', 'Keana Marie', 'Brittany Ross', 'André Tardieu', ""Chris D'Elia"", 'Clark Moore', 'Jessica Pohly', 'Hélène Cardona', 'Helen Hong', 'Ego Mikitas', 'Nick Peine', 'Dominic J. Lopez', 'Nandini Bapat']",https://m.media-amazon.com/images/M/MV5BMTk3NTI3NjM2Ml5BMl5BanBnXkFtZTgwOTg0MTM3NzM@._V1_FMjpg_UX1000_.jpg,tt8009602
Hwanggeumbit Nae Insaeng,3427,2017,52,Korean,South Korea,"A woman has a chance for success, but falls into a bottomless pit of her life. She looks for ways to find happiness through her circumstance.","A woman has a chance for success, but falls into a bottomless pit of her life. She looks for ways to find happiness through her circumstance.",6.2,Drama.Romance,"['Hye-Sun Shin', 'Shi-hoo Park', 'Lee Tae-Hwan', 'Eun-Su Seo', 'Wi Ha-Joon', 'Da-In Lee', 'Kong Sang-Ah', 'Ho-jin Chun', 'Kim Hye-Ok', 'No-min Jeon', 'Tae-Sung Lee', 'Hyun-soo Shin', 'So-yeong Jeong', 'Gwi-hwa Choi', 'Joo-hee Park', 'Na Young-hee', 'Felipe Arca', 'Alexis v Hall']",https://m.media-amazon.com/images/M/MV5BY2FiOWZiNGYtMWQxOC00NWQ0LThkMjctMGFjMTAxZDYyNWVmXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_FMjpg_UX1000_.jpg,tt7278550
Hwayugi,1652,2017,20,Korean,South Korea,"In 2017, Son Oh Gong and Ma Wang are in conflict with each other and they look for a true light in a dark world where evils exists everywhere.","In 2017, Son Oh Gong and Ma Wang are in conflict with each other and they look for a true light in a dark world where evils exists everywhere.",8.1,Comedy.Fantasy.Horror,"['Lee Seung-gi', 'Seung-Won Cha', 'Yeon-Seo Oh', 'Hong-ki Lee', 'Jang Gwang', 'Lee El', 'Seong-oh Kim', 'Sung Hyuk', 'Se-yeong Lee', 'Ji-ru Sung', 'Bo-ra Yoon', 'Jong-ho Song', 'Jung Je-Won', 'Michael K. Lee', 'Kim Ji-Soo', 'So Won Kal', 'Daniel Joey Albright', 'Yeon-ah Oh']",https://m.media-amazon.com/images/M/MV5BZjUzYTU2MmUtMmJjNS00OTAwLTkwZjUtZDI0NzQzMTQ2Mjk0XkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_FMjpg_UX1000_.jpg,tt7099334
Hyena,2716,2020,16,Korean,South Korea,"'Hyena' deals with very competitive, private lawyers who only work for the richest 1% of society.","'Hyena' deals with very competitive, private lawyers who only work for the richest 1% of society.",7.8,Drama.Romance,"['Ju Ji-Hoon', 'Kim Hye-su', 'Lee Kyung-young', 'Jun Suk-ho', 'Kyung-Hwa Oh', 'Se-jin Park', 'Hwang Bo-ra', 'Ye-Won Mun', 'Young-kyu Song', 'Bong-sik Hyun', 'Jeong Ji-Hwan', 'Kijoon Hong', 'Ho-jung Kim', 'Ki-Chan Lee', 'Jae-Cheol Kim', 'Hyun-Joon Ji', 'Bae Gi Beom', 'Lee Joo-yeon']",https://m.media-amazon.com/images/M/MV5BYzZmNjljMWQtMzE5MS00YjIzLTg2MGItMmNmNWE0MzEyYWFhXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_FMjpg_UX1000_.jpg,tt11534164
Hyperdrive,2798,2019,10,English,United States,Tournament series where drivers from around the world compete on one of the largest automotive obstacle courses ever made.,Tournament series where drivers from around the world compete on one of the largest automotive obstacle courses ever made.,8.1,Reality-TV,"['Stacey-Lee May', 'Michael Bisping', 'Lindsay Czarniak', 'Rutledge Wood', 'João Barion', 'Sara Haro', 'Diego Higa', 'Mike Hill', 'Faruk Kugay', 'Fielding Shredder', 'Brittany Williams', 'Tyrei Tokyo Woodbury', 'Aurora Rosselli', 'Charlize Theron']",https://m.media-amazon.com/images/M/MV5BMTMxMDE5NGMtMjAxOS00OGIzLTg5NTQtNGIyOTEzNThhZDA3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_FMjpg_UX1000_.jpg,tt8911552
I Am a Killer,1877,2018,20,English,United Kingdom,"Follows Death Row inmates, who tell the story of how they ended up there.","Follows Death Row inmates, who tell the story of how they ended up there.",7.4,Crime.Documentary,"['Swaylee Loughnane', 'Reece Putinas', 'David Galea', 'Deandra Buchanan', 'Justin Dickens', 'Wayne Doty', 'Kenneth Foster Jr.', 'David Lee Lewis', 'Miguel Angel Martinez', 'Joshua Nelson', 'James Robertson', 'Robert Shafer', 'Charles Thompson', 'Charles Armentrout', 'Mark Arthur', 'David Barnett', 'Linda Lee Couch', 'Cavona Flenoy']",https://m.media-amazon.com/images/M/MV5BNTgxMGQ0NTAtNzA3ZC00MDg3LWIzNmEtMjViZjc1NDJkMzYyXkEyXkFqcGdeQXVyMzU3MTc5OTE@._V1_FMjpg_UX1000_.jpg,tt8300324
I Am Not Okay with This,515,2020,7,English,United States,"Sydney is a teenage girl navigating the trials and tribulations of high school while dealing with the complexities of her family, her budding sexuality, and mysterious superpowers just beginning to awaken deep within her... Read all","Sydney is a teenage girl navigating the trials and tribulations of high school while dealing with the complexities of her family, her budding sexuality, and mysterious superpowers just beginning to awaken deep within her.",7.5,Comedy.Sci-Fi,"['Sophia Lillis', 'Wyatt Oleff', 'Sofia Bryant', 'Kathleen Rose Perkins', 'Richard Ellis', 'Zachary S. Williams', 'Aidan Wojtak-Hissong', 'David Theune', 'Sophia Tatum', 'Gregg Daniel', 'Patricia Scanlon', 'Jackson Frazer', 'Mark Colson', 'Marisa Davila', 'Morgan Kivlan', ""A'Nya Schofield"", 'Shay Guthrie', 'David Bendena']",https://m.media-amazon.com/images/M/MV5BMWM5YzhmNGMtZTI4Ny00MGM4LThkYjAtMDIyMTEwNTQyZmQ1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg,tt9446688
"I Do, I Do",5420,2012,16,Korean,South Korea,"Hwang Ji An is the top shoe designer in a major shoe company. She is in her 30s, successful and single. One night, she makes a horrible mistake and sleeps with Park Tae Gang, a good-looking new employee in her company, a... Read all","Hwang Ji An is the top shoe designer in a major shoe company. She is in her 30s, successful and single. One night, she makes a horrible mistake and sleeps with Park Tae Gang, a good-looking new employee in her company, and she finds out she is pregnant. Ji An's hard-earned career and her stylish lifestyle threatens to implode as a result of her one-night-stand mistake. Will Ji An be forced to give up everything and live with the consequences of her mistake? —Viki",6.7,Comedy.Drama,"['Soo-hyang Im', 'Lee Jang-woo', 'Keon-hyeong Park', 'Kim Seon-a']",https://m.media-amazon.com/images/M/MV5BZGMwYzY2NmQtMTc5OS00YTI5LTg5ZTgtMWVkMjEwYmYyMDU3XkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_FMjpg_UX1000_.jpg,tt2492484
I Think You Should Leave with Tim Robinson,996,2019,12,English,United States,"In this new sketch show, Tim Robinson and guests spend each segment driving someone to the point of needing -- or desperately wanting -- to leave.","In this new sketch show, Tim Robinson and guests spend each segment driving someone to the point of needing -- or desperately wanting -- to leave.",7.7,Comedy,"['Tim Robinson', 'Matt Knudsen', 'Sam Richardson', 'Matthew J Cates', ""Conner O'Malley"", 'Brianna Baker', 'Shellye Broughton', 'Kristen Marie Kelly', ""Artie O'Daly"", 'Brandon Wardell', 'Vanessa Bayer', 'Fred Willard', 'Steven Yeun', 'Charles Hutchins', 'Ellie Reed', 'Irene Choi', 'Judy Kain', 'Dinora Walcott']",https://m.media-amazon.com/images/M/MV5BNDAxOWU5ZGItNmI2NC00OTcyLThkM2EtYjk3NDQzYWI5YTM2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg,tt10050772
Ibeon Saengeun Cheoeumira,1581,2017,16,Korean,South Korea,"Ji Ho is a single woman. She's a writing assistant of dramas. She's a strong and determined woman. Unfortunately, she has to leave her house and seeks other place to live. Her friends help her to find a roommate. That ro... Read all","Nam Se Hee and Yoon Ji Ho are in their 30's. This Korean drama shows sexism, chauvinism and stereotypes. Also, it shows how society influences one's personal decisions. Se Hee is a single man who doesn't want to get married. He doesn't care about dates and women. He just loves his cat, Kitty. He's very intelligent, logical and rational. However, there will be some times that he loses his temper. Ji Ho is a single woman. She's a writing assistant of dramas. She's a strong and determined woman. Unfortunately, she has to leave her house and seeks other place to live. Her friends help her to find a roommate. That roommate is Se Hee. —xibanez99",8.1,Comedy.Drama.Romance,"['Lee Min-ki', 'Jung So-Min', 'Esom', 'Byeong-eun Park', 'Kim Ga-eun', 'Kim Min-Suk', 'Bo-mi Yoon', 'Min-Kyu Kim', 'Kim Byeong-Ok', 'Kim Sun-young', 'Eung-soo Kim', 'Hee-kyung Moon', 'Chung-Ah Lee', 'Hye-Won Jeon', 'So-Hyun Gam', 'Song-a Yoon']",https://m.media-amazon.com/images/M/MV5BNzIzNjRiMjEtNDg0Ny00NmUxLThkNDctMDYyOTU2ZjBhYTIyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg,tt7278588
ID-0,4995,2017,12,Japanese,Japan,"In the midst of a field exercise operating I-Machines, Alliance Academy student Maya Mikuri is thrown into an entirely different kind of adventure.","I-Machines are the general term for robots that operate in extreme environments. While Alliance Academy student Mikuri Maya is in the middle of operating an I-Machine, she gets involved in an incident with pirates and ends up serving as a crew member on an excavation company's spaceship. —Source: ANN",6.1,Action.Adventure.Animation,"['Tony Azzolino', 'Reba Buhr', 'Christine Marie Cabanos', 'Douglas Cavum', 'Mike Chapman', 'Lucien Dodge', 'Dorothy Elias-Fahn', 'Kyle McCarley', 'Cassandra Lee Morris', 'Cindy Robinson', 'Keith Silverstein', 'Christopher Corey Smith', 'Cristina Valenzuela', 'Anne Yatco', 'Todd Haberkorn', 'Cherami Leigh', 'Bryce Papenbrook', 'Minami Tsuda']",https://m.media-amazon.com/images/M/MV5BNGVmMWZmMjQtMjYyNC00OTIyLTlmMmMtYmEzZmI1YjEyYjVkXkEyXkFqcGdeQXVyODEyMzI2OTE@._V1_FMjpg_UX1000_.jpg,tt7161218
Il était une seconde fois,1995,2019,4,French,France,"Vincent and Louise were once very much in love, but they split up some months ago. By chance, Vincent comes into possession of a box which allows him to revisit his time with Louise. Will he get a second chance?","Vincent, in his thirties, dreams of winning his ex, Louise, again. He's grief-stricken and driven to despair, kisses the break-up goodbye by nocturnal parties, ephemeral affairs - until this day when a delivery man gives him a parcel he has never ordered. A strange box, without any bottom, through which he would experience a time travel which brings him back - at Louise's side before they split up. —Anonymous",6.2,Drama.Romance.Sci-Fi,"['Gaspard Ulliel', 'Freya Mavor', ""Patrick d'Assumçao"", 'Richard Dillane', 'Claire Sermonne', 'Eva Ionesco', 'Thomas Rodriguez', 'Juliette Joy Anquetil', 'Ronia Ava', 'Paul Bandey', 'Emile Berling', 'Julianne Binard', 'Joe Cairo', 'Sacha Canuyt', 'Yves Cape', 'Esteban Carvajal-Alegria', 'Anne Cazenave', 'Pierre Choukroun']",https://m.media-amazon.com/images/M/MV5BNmY1Y2JhMDEtZmI1Mi00OTVhLWJjODAtYzJhMjk0MGI0ZmI0XkEyXkFqcGdeQXVyMTEwMzkzMTA1._V1_FMjpg_UX1000_.jpg,tt7943036
Il processo,1592,2019,8,Italian,Italy,"A group of characters is implicated in the murder of Angelica. They all walk on a razor's edge searching for the truth, waiting for a verdict, which will establish, in a way or another, a new course for their lives.","A group of characters is implicated in the brutal murder of Angelica, a 17 yo girl involved into something bigger than her: the prosecutor Elena Guerra, who discovers to be indissolubly close to the victim; Ruggero Barone rampant lawyer who considers this trial the chance of a lifetime; Linda Monaco, the only defendant, who insists claiming her innocence. They all walk on a razor's edge searching for the truth, waiting for a verdict, which will establish, in a way or another, a new course for their lives.",7,Crime,"['Vittoria Puccini', 'Francesco Scianna', 'Camilla Filippi', 'Simone Colombari', 'Maurizio Lastrico', 'Alessandro Averone', 'Euridice Axen', 'Marco Baliani', 'Pia Lanciotti', 'Giordano De Plano', 'Roberto Herlitzka', 'Margherita Caviezel', 'Tommaso Ragno', 'Michele Morrone', 'Joanna Bartling', 'Bill Rogers', 'Matthew David Rudd', 'Antonio Zavatteri']",https://m.media-amazon.com/images/M/MV5BOWM1NDYyNTAtYTczYS00YjJiLTk2NjctYjg3NmI1NTIyZTc2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg,tt10549212
Ildan Ddeugeobge Chungsohara,2700,2018,16,Korean,South Korea,"Gil Oh Sol, an employee at a cleaning company, meets Jang Sun Gyeol, the boss of the company. The two are diametric opposite when it comes to cleanliness. With the help of Oh Sol, Sun Gyeol faces his mysophobia and finds... Read all","Jang Sun Gyeol has wealth and good looks but suffers from severe mysophobia. He is obsessed with cleaning and even owns his own cleaning company. However, he meets a carefree and untidy girl named Gil Oh Sol after she enters his company as a new employee. Oh Sol has worked all sorts of part-time jobs while striving for a full-time job and does not have the luxury to date or be clean. She gave up on being neat after facing the tough reality of the world and is known for always wearing her trademark tracksuit. But she has a bright personality and does not mind getting dirty. With the help of Oh Sol, Sun Gyeol faces his mysophobia and also finds love along the way. (Source: JTBC) —MyDramaList",6.6,Comedy.Romance,"['Yoon Kyun-Sang', 'Kim Yoo-Jeong', 'Jae-rim Song', 'Seon Yu', 'Kim Won-Hae', 'Do-hee Min', 'Lee Do-Hyun', 'Ahn Suk-hwan', 'Hak Jin', 'In-ha Cha', 'Jae-Sung Jung', 'Kim Hye-Eun', 'Kim Ki Nam', 'Byung-ho Son']",https://m.media-amazon.com/images/M/MV5BNzA2NTU4MmMtYzVlZi00OTUyLWExMzgtYzU3ODdkOTliMTZmXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_FMjpg_UX1000_.jpg,tt7981562
I'm Home,4733,2015,10,Japanese,Japan,"The hero, nearly killed by carbon monoxide poisoning while on a solo assignment in another city, loses his memory and can no longer recognize his own family. Unconsciously, his feet carry him to the homes of his former l... Read all","The hero, nearly killed by carbon monoxide poisoning while on a solo assignment in another city, loses his memory and can no longer recognize his own family. Unconsciously, his feet carry him to the homes of his former lover, his parents, old friends. As he journeys, he follows the threads of their memories to find out what kind of person he used to be. The clear story line and design draw readers into this powerful work. ~~ Based on the manga ""I'm home"" of Ishizaka Kei. —ahloy-419-149174",6.3,Drama,"['Takuya Kimura', 'Aya Ueto', 'Miki Mizuno', 'Kei Tanaka', 'Kôsuke Suzuki', 'Mayu Yamaguchi', 'Hirofumi Arai', 'Ken Mitsuishi', 'Ikkei Watanabe', 'Mitsuhiro Oikawa', 'Rai Takahashi', 'Toshiyuki Nishida', 'Masato Yano', 'Tôru Nomaguchi', 'Miyu Yoshimoto', 'Manabu Ino', 'Atsuko Anan', 'Atsuko Anami']",https://m.media-amazon.com/images/M/MV5BNjdkNDJkNDctYThmMS00Y2Q0LTg1NjEtNDM0ODY4OGQwYzhlXkEyXkFqcGdeQXVyMjE5MjA5MDI@._V1_FMjpg_UX1000_.jpg,tt4412548
